etf,event,n_events,mean_diff_20d,correction_prob_diff_20d,left_tail_diff_20d
SPY,A_narrow_rally,68,-0.002426764054518797,-0.016186498666855426,0.0026603902692244052
SPY,B_passive_dominance,28,0.011360367795642869,-0.07501002807862013,0.006862070941493312
SPY,C_participation_recovery,122,0.002039102291453756,-0.01763297889829226,0.006276590847816496
QQQ,A_narrow_rally,58,-0.000696970282899674,0.012498152722359449,0.004982371693373011
QQQ,B_passive_dominance,9,-0.03143540827105045,0.11191335740072202,0.01083032490974728
QQQ,C_participation_recovery,116,0.0025825522264200373,0.01900148000608602,0.003167489660705139
XLK,A_narrow_rally,50,-0.01301321738409364,0.02830425190533495,0.003885880465302846
XLK,B_passive_dominance,11,0.013686673080599423,-0.1175290814279984,-0.009371695292272914
XLK,C_participation_recovery,109,0.0025446815437124605,0.0567828451775062,0.0006366449912967309
