signal,target,ic_high_vol,ic_low_vol
earnings_mean_SPY,SPY,0.45376422078467615,-0.1113744576031616
earnings_mean_SPY,QQQ,0.3959246099881107,-0.06573678060613068
earnings_mean_SPY,IWM,0.38600269360952283,0.11677779563829302
earnings_mean_SPY,XLK,0.423407744835621,-0.06815103802608302
earnings_mean_SPY,XLF,0.14155076193059304,0.013808895501332803
earnings_mean_SPY,XLE,-0.13934844060725332,-0.1985734939670726
earnings_breadth_SPY,SPY,0.3924100259730145,-0.12204555388021489
earnings_breadth_SPY,QQQ,0.29520388755939464,-0.07275792635166657
earnings_breadth_SPY,IWM,0.2027783789038217,0.19621169816126854
earnings_breadth_SPY,XLK,0.3238876661076759,-0.07792139209275258
earnings_breadth_SPY,XLF,0.19560743426675137,-0.11218802837450521
earnings_breadth_SPY,XLE,-0.16373656921310553,-0.09435060126893535
earnings_mean_QQQ,SPY,0.05527112338169835,-0.4818263680670423
earnings_mean_QQQ,QQQ,0.014032032150656518,-0.5302258601644403
earnings_mean_QQQ,IWM,0.2785381235377877,0.02381821117635056
earnings_mean_QQQ,XLK,-0.009609885210669487,-0.5462698906939646
earnings_mean_QQQ,XLF,0.32091988839673313,-0.4574048752549272
earnings_mean_QQQ,XLE,0.02259637099179419,0.5452068106222928
earnings_breadth_QQQ,SPY,0.4340417678585491,0.15777867386950115
earnings_breadth_QQQ,QQQ,0.37759495666906295,0.18292382404927404
earnings_breadth_QQQ,IWM,0.5614747203923892,0.0738495916359353
earnings_breadth_QQQ,XLK,0.38614750381898505,0.20053257268368888
earnings_breadth_QQQ,XLF,0.572593031687288,0.02766680870632399
earnings_breadth_QQQ,XLE,-0.35535833407926537,-0.01062954075781309
daily_earnings_factor,SPY,0.17008530378192593,-0.277630144000775
daily_earnings_factor,QQQ,0.12753258836020792,-0.3027252791469687
daily_earnings_factor,IWM,0.4146892241493363,0.217977937539277
daily_earnings_factor,XLK,0.12266436595479946,-0.32164915148519035
daily_earnings_factor,XLF,0.3947940033928839,-0.2104664004747926
daily_earnings_factor,XLE,-0.1126596838015978,0.26704797860234025
macro_rates_change,SPY,-0.012818845456547504,-0.13098066328070082
macro_rates_change,QQQ,-0.06774706105641624,-0.1396134996971396
macro_rates_change,IWM,0.12184971360526783,-0.10827809041765359
macro_rates_change,XLK,-0.08750402886637522,-0.12549396405844437
macro_rates_change,XLF,0.15972383220604205,-0.1044464819912193
macro_rates_change,XLE,-0.11205604782196818,-0.03874963017192116
macro_dollar_change,SPY,-0.09773186098038743,-0.04961406078380862
macro_dollar_change,QQQ,-0.12751002333198844,-0.036780666422713645
macro_dollar_change,IWM,-0.024728428401737793,-0.013032588795368987
macro_dollar_change,XLK,-0.1316154061400519,-0.06068106920567961
macro_dollar_change,XLF,0.042846398810877484,-0.06480556572711803
macro_dollar_change,XLE,0.044339265286536936,-0.05821750274649658
macro_inflation_change,SPY,-0.014831736410190997,0.08539557555305585
macro_inflation_change,QQQ,0.05735352741462726,0.09130694600674916
macro_inflation_change,IWM,-0.11527815867120239,0.059435929883764525
macro_inflation_change,XLK,0.08144166965916162,0.08815499625046869
macro_inflation_change,XLF,-0.20690922558967173,0.07380718035245593
macro_inflation_change,XLE,0.08755983160953397,0.00029879077615298087
macro_volatility_change,SPY,-0.013746034797654523,-0.06272848706411698
macro_volatility_change,QQQ,-0.02100638390509525,-0.04452568428946382
macro_volatility_change,IWM,0.029827368801985853,-0.047197225346831635
macro_volatility_change,XLK,-0.03130884190646364,-0.05219464754405699
macro_volatility_change,XLF,0.06335842036516616,-0.08327474690663667
macro_volatility_change,XLE,0.06016929505629032,0.05491305774278214
macro_regime_state,SPY,0.07622801115062963,-0.059621074080605026
macro_regime_state,QQQ,0.06005620550633019,-0.07212131899135954
macro_regime_state,IWM,0.06292868007531764,-0.03386625913517114
macro_regime_state,XLK,0.03759662088424719,-0.10557612805893533
macro_regime_state,XLF,0.04874725051031659,0.009012715766374732
macro_regime_state,XLE,0.0028442021814974188,-0.0347871235721703
flow_abnormal_vol_SPY,SPY,-0.01603044370684927,0.08239273468631268
flow_abnormal_vol_SPY,QQQ,-0.038128141769059834,0.07432119358724863
flow_abnormal_vol_SPY,IWM,0.087356022866707,0.12364007042906126
flow_abnormal_vol_SPY,XLK,-0.06360721737507846,0.13459364285052358
flow_abnormal_vol_SPY,XLF,0.19963132806712994,0.0749791492910759
flow_abnormal_vol_SPY,XLE,-0.0921057839650327,0.06373830043554815
flow_dv_zscore_SPY,SPY,-0.004009024546086819,0.1034473172087851
flow_dv_zscore_SPY,QQQ,-0.030618995651706806,0.08988045593550183
flow_dv_zscore_SPY,IWM,0.07215678735206474,0.1331387267167084
flow_dv_zscore_SPY,XLK,-0.05834855330193214,0.14777129089055696
flow_dv_zscore_SPY,XLF,0.17683247479516656,0.09073301825595405
flow_dv_zscore_SPY,XLE,-0.0707997127525431,0.06932629042720787
flow_abnormal_vol_QQQ,SPY,-0.08949341536095357,-0.10602353813362989
flow_abnormal_vol_QQQ,QQQ,-0.10770083290453546,-0.11766286720415162
flow_abnormal_vol_QQQ,IWM,-0.031037426986559306,-0.13567787971457698
flow_abnormal_vol_QQQ,XLK,-0.13509112190488037,-0.0722546566583264
flow_abnormal_vol_QQQ,XLF,0.052671457893933314,-0.08034473172087851
flow_abnormal_vol_QQQ,XLE,0.06427444571984327,0.15126494300806229
flow_dv_zscore_QQQ,SPY,-0.10503191952547623,-0.1094523213789269
flow_dv_zscore_QQQ,QQQ,-0.13195854137098464,-0.12378834213696599
flow_dv_zscore_QQQ,IWM,-0.06762189639866328,-0.14335094059864703
flow_dv_zscore_QQQ,XLK,-0.15844411397164845,-0.08065980910017607
flow_dv_zscore_QQQ,XLF,0.037336514919338884,-0.07791678250393846
flow_dv_zscore_QQQ,XLE,0.09584904806871321,0.15537021592067465
flow_abnormal_vol_IWM,SPY,-0.1191341864055052,-0.1438884255398017
flow_abnormal_vol_IWM,QQQ,-0.15308366930353803,-0.13636363636363638
flow_abnormal_vol_IWM,IWM,-0.04596524758129725,-0.08801779260494857
flow_abnormal_vol_IWM,XLK,-0.1633069646199343,-0.0705031971087017
flow_abnormal_vol_IWM,XLF,0.10767821499454343,-0.0055787230099156706
flow_abnormal_vol_IWM,XLE,0.03227010308112479,0.012528959317950143
flow_dv_zscore_IWM,SPY,-0.12738972355259515,-0.1518302288944491
flow_dv_zscore_IWM,QQQ,-0.16840730332313644,-0.14417570197386712
flow_dv_zscore_IWM,IWM,-0.08329610802313812,-0.12815309053841165
flow_dv_zscore_IWM,XLK,-0.16558006457413305,-0.08065054211843203
flow_dv_zscore_IWM,XLF,0.1092275418289973,-0.01742192567880641
flow_dv_zscore_IWM,XLE,0.0433415700222221,0.020118617366323793
flow_abnormal_vol_XLK,SPY,0.05967170103646573,-0.16030951719025116
flow_abnormal_vol_XLK,QQQ,0.07526674997596848,-0.14609396719488463
flow_abnormal_vol_XLK,IWM,0.070720550067571,-0.1988508942637383
flow_abnormal_vol_XLK,XLK,0.03671452239455813,-0.12276897414512093
flow_abnormal_vol_XLK,XLF,0.10228384346144495,-0.13520526364563062
flow_abnormal_vol_XLK,XLE,0.03289209560590554,0.21280696877027153
flow_dv_zscore_XLK,SPY,-0.007005897620030421,-0.13441757019738673
flow_dv_zscore_XLK,QQQ,-0.000390158947362469,-0.1268742470577333
flow_dv_zscore_XLK,IWM,-0.002369226071664848,-0.1749328143823557
flow_dv_zscore_XLK,XLK,-0.04100061633804728,-0.10215920674636271
flow_dv_zscore_XLK,XLF,0.07392098433144287,-0.12236122694838292
flow_dv_zscore_XLK,XLE,0.07131992468235972,0.20675562969140954
flow_abnormal_vol_XLF,SPY,-0.23499443033966447,-0.14249837827819478
flow_abnormal_vol_XLF,QQQ,-0.237097895968923,-0.18341210267815772
flow_abnormal_vol_XLF,IWM,-0.18806226710620805,-0.18577518302288945
flow_abnormal_vol_XLF,XLK,-0.2607449208655874,-0.17911222314892045
flow_abnormal_vol_XLF,XLF,-0.06382208752000271,-0.053581688444073766
flow_abnormal_vol_XLF,XLE,0.21958032468009794,0.28557130942452047
flow_dv_zscore_XLF,SPY,-0.24089770484758358,-0.1059030673709573
flow_dv_zscore_XLF,QQQ,-0.2425035764570175,-0.1465109813733667
flow_dv_zscore_XLF,IWM,-0.20762675924931157,-0.13983875451765362
flow_dv_zscore_XLF,XLK,-0.2716467534817445,-0.14083958854601059
flow_dv_zscore_XLF,XLF,-0.09029635116567054,-0.04543601149105737
flow_dv_zscore_XLF,XLE,0.21965948736507004,0.2858215179316097
flow_abnormal_vol_XLE,SPY,-0.09182306009013237,-0.17526642572514134
flow_abnormal_vol_XLE,QQQ,-0.11147802387320399,-0.16150495783523305
flow_abnormal_vol_XLE,IWM,0.09641449581851388,-0.05464739134463906
flow_abnormal_vol_XLE,XLK,-0.102329079281429,-0.10730238161430825
flow_abnormal_vol_XLE,XLF,0.13140440257617994,-0.2150773792975628
flow_abnormal_vol_XLE,XLE,-0.00022052462242226506,0.2911036975257159
flow_dv_zscore_XLE,SPY,-0.058586041356848424,-0.11359466221851545
flow_dv_zscore_XLE,QQQ,-0.07250736495694116,-0.10210360485589845
flow_dv_zscore_XLE,IWM,0.14256634115724537,-0.05112593828190159
flow_dv_zscore_XLE,XLK,-0.06954441874798559,-0.04780835881753314
flow_dv_zscore_XLE,XLF,0.1538074424232829,-0.17345009730330832
flow_dv_zscore_XLE,XLE,-0.060248457741262425,0.24993049763691966
flow_breadth_thrust,SPY,0.04732351717898576,-0.007454104156931516
flow_breadth_thrust,QQQ,0.06617597524215894,0.0060267225098595235
