ticker,idea,ic_mean,residual_ic_mean,ic_1d,ic_5d,ic_20d,structural_class,reasons
SPY,momentum,-0.23459099719646834,-0.05695413288703671,-0.06103723816532564,-0.17201319922214742,-0.47072255420193193,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
SPY,breakout,-0.13030155405108687,0.028408852271576284,-0.1002430167466544,-0.13612238479653022,-0.15453926061007595,NOISE,regime IC sign unstable
SPY,mean_reversion,0.03565020438778442,-0.009653157243081287,0.05904647932844752,0.03571434169937129,0.012189792135534464,NOISE,|IC| < 0.05
SPY,earnings_reaction,0.016299037879388887,0.026133695638395595,0.03760783305720797,0.011786306288281307,-0.0004970257073226125,NOISE,|IC| < 0.05
QQQ,momentum,-0.21010781188301594,-0.10801660640788058,-0.053899963938326384,-0.13636451196877802,-0.44005895974194337,TRUE_SIGNAL,residual IC above threshold
QQQ,breakout,-0.056741177187667684,0.0430186547914334,-0.05812321972351695,-0.07141231400578053,-0.040687997833705546,NOISE,regime IC sign unstable
QQQ,mean_reversion,0.018522958706766963,-0.017170011447075126,0.050425616477843486,0.025107519356843338,-0.01996425971438593,NOISE,|IC| < 0.05
QQQ,earnings_reaction,0.019007666714788856,0.033499113986412955,0.05896455100207931,0.018744523687408282,-0.020686074545121027,NOISE,|IC| < 0.05
IWM,momentum,-0.17553050740633727,0.13477243303555655,-0.04492743724581124,-0.16555998932812452,-0.3161040956450761,TRUE_SIGNAL,residual IC above threshold
IWM,breakout,-0.118838731447976,-0.021911552465469015,-0.037563705325255756,-0.1408118384568265,-0.17814065056184575,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
IWM,mean_reversion,0.09858387062644484,-0.04230438761770966,0.036963448083088025,0.09970641421125413,0.15908174958499233,NOISE,regime IC sign unstable
IWM,earnings_reaction,-0.03592475005874864,-0.024656644420541284,-0.0677475772859141,-0.012534556294564835,-0.027492116595766985,NOISE,|IC| < 0.05
XLK,momentum,-0.15639537402592607,-0.06719499211945314,-0.048593046927030245,-0.09500064050516113,-0.32559243464558685,NOISE,regime IC sign unstable
XLK,breakout,-0.02044035147667857,0.0858032886011484,-0.05532896657193961,-0.04439294375781732,0.03840085589972122,NOISE,|IC| < 0.05
XLK,mean_reversion,-0.016068794151650245,-0.03992981330326691,0.037808129733318194,-0.009150090415913203,-0.07686442177235572,NOISE,|IC| < 0.05
XLK,earnings_reaction,0.030265888506777566,0.013178662191453956,0.07151715858081585,0.013382148259910619,0.005898358679606223,NOISE,|IC| < 0.05
XLF,momentum,-0.1709955261476379,-0.07703681563349896,-0.056982372777929204,-0.142000475803834,-0.31400372986115055,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
XLF,breakout,-0.10462950817724133,0.03685172542567103,-0.06658528587604215,-0.07733404085321466,-0.1699691978024672,NOISE,regime IC sign unstable
XLF,mean_reversion,0.10020857068513649,-0.027629968721128842,0.061344857810702806,0.07308001948280979,0.16620083476189687,NOISE,regime IC sign unstable
XLF,earnings_reaction,-0.024198656547833552,0.003308224391035834,-0.013920067678965448,-0.036444422987815805,-0.022231478976719395,NOISE,|IC| < 0.05
XLE,momentum,-0.0008604284154253182,-0.01678864010822755,-0.007009300044383798,0.006312587708272534,-0.00188457291016469,NOISE,|IC| < 0.05
XLE,breakout,-0.1778682560786908,-0.0881818132346721,-0.10027257886584741,-0.22389187988222117,-0.20944030948800382,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
XLE,mean_reversion,0.16931436376415476,0.12346871892738305,0.08613220601368468,0.2252563277142969,0.19655455756448267,TRUE_SIGNAL,residual IC above threshold
XLE,earnings_reaction,-0.052114503051823656,-0.02255625278401795,-0.03492093103244738,-0.0009512640543876423,-0.12047131406863593,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
AAPL,momentum,-0.15408977005208166,-0.11724079297576401,-0.052819745479644735,-0.1260049429661457,-0.28344462171045454,TRUE_SIGNAL,residual IC above threshold
AAPL,breakout,-0.08034627513393654,-0.11602426940220623,-0.035443313750873166,-0.09354378571332493,-0.11205172593761153,TRUE_SIGNAL,residual IC above threshold
AAPL,mean_reversion,0.12622125220570826,0.138369543317015,0.05787980101501559,0.13676327826267085,0.18402067733943842,TRUE_SIGNAL,residual IC above threshold
AAPL,earnings_reaction,-0.01940535992766718,-0.050257646325267726,0.021427111574485912,-0.0039486437906422955,-0.07569454756684516,NOISE,|IC| < 0.05
MSFT,momentum,-0.0013721048869057677,0.07824118747438852,-0.0010044586401508856,0.013613864962248723,-0.01672572098281514,NOISE,|IC| < 0.05
MSFT,breakout,-0.0074977461494205935,-0.0049834551354884975,-0.015010621603420343,-0.02898237200311887,0.021499755158277435,NOISE,|IC| < 0.05
MSFT,mean_reversion,0.012680723367765148,0.03889586017253211,0.024169076091229116,0.04299643375004899,-0.029123339737982656,NOISE,|IC| < 0.05
MSFT,earnings_reaction,0.009214552209955297,-0.020555789999938127,0.027624665830655277,0.007314524555903867,-0.0072955337566932505,NOISE,|IC| < 0.05
NVDA,momentum,-0.21169355503892318,-0.08655466068760072,-0.09516878471693682,-0.19780051490835962,-0.3421113654914731,MARKET_EXPOSURE,IC collapses after SPY/sector/momentum neutralization
NVDA,breakout,-0.02524558539414067,0.008407510398262976,-0.09064072318378902,-0.059825596927086666,0.07472956392845367,NOISE,|IC| < 0.05
NVDA,mean_reversion,0.054611252240671176,0.0750774437789362,0.09924911120622637,0.09788006874968509,-0.033295423233897926,NOISE,regime IC sign unstable
NVDA,earnings_reaction,0.00691454261820285,-0.026665773297201652,0.0963577053503385,-0.05108053044425415,-0.02453354705147579,NOISE,|IC| < 0.05
AMZN,momentum,-0.2527853057819425,-0.1718015520114039,-0.07857202299462011,-0.22225962515519007,-0.4575242691960174,TRUE_SIGNAL,residual IC above threshold
AMZN,breakout,-0.05103043125155848,0.08519857581924646,0.009374487644187808,-0.02352567236271279,-0.13894010903615045,TRUE_SIGNAL,residual IC above threshold
