signal,target,ic_1d,ic_5d,ic_20d,ic_20d_neutral_spy,ic_rolling_60d_mean,quintile_spread_20d,quintile_spread_20d_neutral,leakage_risk
earnings_mean_SPY,SPY,0.03467142806624795,-0.03782847062958468,0.16964908295468856,0.1654856721449642,0.1892314976560942,0.011921430673401859,0.007781286135369513,HIGH
earnings_mean_SPY,QQQ,0.07396615637121046,0.02099534052686403,0.18042040276204954,0.1764243573535609,0.1368369209938533,0.02866869998394461,0.022235360102190963,HIGH
earnings_mean_SPY,IWM,0.005319620440016282,-0.026061961588758,0.2641356012471144,0.2597587442056469,0.3302836423623707,0.029896008320353756,0.024716960649353206,HIGH
earnings_mean_SPY,XLK,0.07743113875716295,0.022729048992276808,0.17662672036462992,0.17000526759376322,0.14024458788175417,0.038986126124621136,0.029693572678894005,HIGH
earnings_mean_SPY,XLF,-0.010448135374575802,-0.018990003178457105,0.1177484936139095,0.11847555836493892,0.18472238858315881,0.011192602085485438,0.008652540597380241,HIGH
earnings_mean_SPY,XLE,-0.018102678325951044,-0.10654795781279751,-0.17609659185504503,-0.16908659924146652,0.02684444726201026,-0.026536487400881735,-0.018924361076806496,HIGH
earnings_breadth_SPY,SPY,0.062321093178886816,0.048820119362809354,0.11528813708209558,0.09346713021491784,0.15222429799257783,0.008793553423379109,0.0153627877946928,HIGH
earnings_breadth_SPY,QQQ,0.08742887172577647,0.10310861916706697,0.12323904308775735,0.0978581963758955,0.12527647196790734,0.029910392313699602,0.02282600599576601,HIGH
earnings_breadth_SPY,IWM,0.040928241049649206,0.08110332919786546,0.18066225312864787,0.16844289928360726,0.16305533228391353,0.010555069941100496,0.029347922108848387,HIGH
earnings_breadth_SPY,XLK,0.08217673437668221,0.1264315911703524,0.12765621309090278,0.0891361146228403,0.17058269666154724,0.04800027443375851,0.028870005131584827,HIGH
earnings_breadth_SPY,XLF,0.015948576588426258,0.04987426499007649,0.06581583304686682,0.09071217867678046,0.053176373432834136,-0.012509473164084316,0.01488145338839044,HIGH
earnings_breadth_SPY,XLE,-0.0245313447123183,-0.12511390913626846,-0.14105496210044388,-0.08563105773282766,0.03189046381906337,0.016023882611596638,-0.01601934898512769,HIGH
earnings_mean_QQQ,SPY,-0.08891095381573,-0.06000393143530842,-0.15159120349609315,-0.15522229245680574,0.16479509421502908,0.0009901307148237372,-0.0060924310533310815,HIGH
