signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
exhaustion_composite,SPY,5,0.009502515002096498,0.05444122881456294,0.0028755185612287103,"{1: 2.073496404517372e-05, 2: 0.004513876795401492, 3: 0.007873434912699564, 4: 0.004031389406292889, 5: 0.002896253525273884}",0.41330645161290325,496,-0.0502569538043686
exhaustion_composite,SPY,10,0.12257620578807632,0.16027853435853406,0.012900542069977388,"{1: -0.0005101181753870824, 2: 0.006267242326474903, 3: 0.011633673485371232, 4: 0.0090702258243485, 5: 0.012390423894590306}",0.4215885947046843,491,0.06275421936240015
exhaustion_composite,SPY,20,0.13181145930622107,0.1828716473370206,0.019163771632317375,"{1: 0.00412066538583811, 2: 0.012867212088331928, 3: 0.018147015644545923, 4: 0.015504405895873227, 5: 0.023284437018155486}",0.4594594594594595,481,0.0954653221818858
volume_zscore_20d,QQQ,1,0.0017430631209336843,0.0214315318258141,0.0007360785637450066,"{1: 0.0007910220835620705, 2: 0.0020679813163527565, 3: 0.00114897989694089, 4: -0.001119534952276403, 5: 0.001527100647307077}",0.47291666666666665,480,-0.022855838113993773
volume_zscore_20d,QQQ,5,-0.016890839751988185,0.003472910124814957,-0.0005899029607473014,"{1: 0.003949036228782076, 2: 0.007945194069545055, 3: 0.005304285480746994, 4: 0.002628182231736456, 5: 0.0033591332680347748}",0.45588235294117646,476,-0.013251911547761305
volume_zscore_20d,QQQ,10,0.02629254802336452,0.028004661901454262,0.0029860783247884016,"{1: 0.006718385237652671, 2: 0.01146730692064776, 3: 0.00782720825479913, 4: 0.010334644819127969, 5: 0.009704463562441073}",0.5095541401273885,471,0.060828547301468174
volume_zscore_20d,QQQ,20,-0.01359747486315439,-0.009625856646702307,0.0019406953153373284,"{1: 0.015792500699084354, 2: 0.026109978179927305, 3: 0.011043482645191451, 4: 0.013312773372976766, 5: 0.017733196014421682}",0.4642082429501085,461,0.02776549841307407
dollar_volume_zscore,QQQ,1,-0.004109826865567993,0.01898696644112126,0.000667332367961721,"{1: 0.0005331341443710244, 2: 0.0019550196277845905, 3: 0.001632044841355024, 4: -0.0009051161339569935, 5: 0.0012004665123327453}",0.4791666666666667,480,-0.0276913474078955
dollar_volume_zscore,QQQ,5,-0.022413414223683512,-0.004440881360494354,-0.0008450974276844503,"{1: 0.003565759604416707, 2: 0.010451448738136084, 3: 0.0022000513132883807, 4: 0.0042519439370547205, 5: 0.002720662176732257}",0.4579831932773109,476,-0.01865112629082024
dollar_volume_zscore,QQQ,10,0.023506469343831903,0.020575700423671163,0.004475108626638452,"{1: 0.005702815829471121, 2: 0.016182864957849926, 3: 0.004349857913669627, 4: 0.009649349567442629, 5: 0.010177924456109573}",0.5095541401273885,471,0.05416685185276636
dollar_volume_zscore,QQQ,20,-0.016457606337828917,-0.01846395756521478,-0.0019869496983009986,"{1: 0.01826538853415483, 2: 0.027099672967689423, 3: 0.006805131065184674, 4: 0.015516420293120208, 5: 0.01627843883585383}",0.4685466377440347,461,0.022326843348646142
return_3d_extension,QQQ,1,-0.007584509992506357,-0.0490879894019026,0.0008179378770556589,"{1: 0.002331948872332661, 2: 0.001134944131721575, 3: -0.0007207867066158587, 4: -0.0010483934430435147, 5: 0.00314988674938832}",0.5262096774193549,496,-0.013010221492558795
return_3d_extension,QQQ,5,-0.01515025870608367,-0.0436597725882038,0.0008667148475588696,"{1: 0.008717409661396974, 2: 0.0024796969225819128, 3: 0.003766044465551364, 4: 0.000567215416358487, 5: 0.009584124508955844}",0.5121951219512195,492,-0.10054830400297593
return_3d_extension,QQQ,10,-0.019032177227215435,-0.014637996698200793,-0.0022297177411034746,"{1: 0.016667848469489963, 2: 0.002329723777673501, 3: 0.014457369575355272, 4: 0.0019200700292186022, 5: 0.014438130728386489}",0.5318275154004107,487,-0.12604447429370025
return_3d_extension,QQQ,20,-0.014314638778855663,-0.015165532614516579,-0.0011185908905096027,"{1: 0.031230096513030676, 2: 0.005606933462387396, 3: 0.01926869038201602, 4: 0.004378309563821371, 5: 0.030111505622521073}",0.5345911949685535,477,-0.12412127410500336
distance_from_sma20,QQQ,1,-0.030296680975177837,-0.024368077291585334,0.00023824153469605733,"{1: 0.0015315821358274848, 2: 0.0008923843460536251, 3: -6.552595104126803e-06, 4: 0.0002283114345858657, 5: 0.001769823670523542}",0.5229166666666667,480,-0.07026236860163974
distance_from_sma20,QQQ,5,-0.022739200943535307,-0.027665592300373108,0.0034333451825072194,"{1: 0.006165795341329306, 2: 0.00560329277529581, 3: 0.003936516163249483, 4: -0.002142247831313634, 5: 0.009599140523836525}",0.5441176470588235,476,-0.11490026319611296
distance_from_sma20,QQQ,10,-0.01028709507741851,-0.02616936330063969,0.002470043258588869,"{1: 0.014821179631760757, 2: 0.00867114118332457, 3: 0.0048167869326807495, 4: 0.00036547821619005465, 5: 0.017291222890349626}",0.5435244161358811,471,-0.15199093987295412
distance_from_sma20,QQQ,20,-0.002000046544043526,-0.03849108678583749,-0.0028130537484712045,"{1: 0.02995130491780421, 2: 0.020821742086957327, 3: 0.002551635881297552, 4: 0.003375096810353814, 5: 0.027138251169333005}",0.559652928416486,461,-0.14873306539430844
intraday_range_expansion,QQQ,1,0.010704690558552771,0.06530154191932604,-0.0007416027724265681,"{1: 0.0016101449752048344, 2: 0.0018714807902156481, 3: -0.0005291502622729397, 4: 0.0005945312859605816, 5: 0.0008685422027782663}",0.5770833333333333,480,-0.00252317115695085
intraday_range_expansion,QQQ,5,-0.026204356618516323,0.0009001720988034966,-0.0023764249083378626,"{1: 0.007350429370473221, 2: 0.0054736774104377104, 3: 0.0019133005157125566, 4: 0.0034386153817529174, 5: 0.004974004462135358}",0.5903361344537815,476,-0.020950079366494855
intraday_range_expansion,QQQ,10,0.02671621941331447,0.055291530676573324,0.0008549267122079773,"{1: 0.012175927007748624, 2: 0.005262472169436854, 3: 0.008684397299021636, 4: 0.006840299643503869, 5: 0.013030853719956602}",0.6242038216560509,471,0.06953285366018269
intraday_range_expansion,QQQ,20,-0.028793615137102834,0.024906439728383155,-0.004712179711461902,"{1: 0.02009759522918797, 2: 0.02015487819600311, 3: 0.017528958003663598, 4: 0.010778289459258815, 5: 0.015385415517726068}",0.6811279826464208,461,0.08241886110418489
realized_volatility_10d,QQQ,1,0.030661197396589138,0.07148541507228379,0.0034321357888992153,"{1: 6.237896483905005e-05, 2: 0.0016350806745882047, 3: 0.0006832668336529447, 4: -0.0010741576240171277, 5: 0.003494514753738265}",0.5807770961145194,489,0.012365189098232797
realized_volatility_10d,QQQ,5,0.05335401289790544,0.15196299220808843,0.007068983079910904,"{1: 0.004895260124852935, 2: 0.0063710182282998825, 3: 0.0005128142723778402, 4: 0.000760241949844755, 5: 0.011964243204763839}",0.5938144329896907,485,0.017778731817683822
realized_volatility_10d,QQQ,10,0.07970618362058862,0.23743190727758498,0.015288392083477457,"{1: 0.009980767687800098, 2: 0.009242518498766157, 3: -0.0014595695980248204, 4: 0.004193621827316239, 5: 0.025269159771277555}",0.63125,480,0.03298340567936962
realized_volatility_10d,QQQ,20,0.11480045805086818,0.3447227430626636,0.02743868292866213,"{1: 0.009938504312640584, 2: 0.010314517174273731, 3: 0.015704316456761864, 4: 0.014149154959568895, 5: 0.03737718724130271}",0.6851063829787234,470,0.04019775646850167
volatility_of_volume,QQQ,1,-0.01986879918938514,-0.015360044455050854,-0.0011908768246450701,"{1: 0.0013501932679206932, 2: 0.0008300029244924222, 3: 0.0013264004534205666, 4: 0.0008437449166637523, 5: 0.000159316443275623}",0.5782881002087683,479,-0.021556838671168737
volatility_of_volume,QQQ,5,-0.027446912142605213,-0.07024566148104185,-0.0025374306562486928,"{1: 0.0027714082832888637, 2: 0.0070949919236405696, 3: 0.007744649280546601, 4: 0.005470809535777745, 5: 0.00023397762704017107}",0.5915789473684211,475,0.007425162363720213
volatility_of_volume,QQQ,10,-0.09580319416219198,-0.14896197565780767,-0.010765125474153266,"{1: 0.009709198661213597, 2: 0.019543690590525544, 3: 0.010089064047653227, 4: 0.007692518193857964, 5: -0.0010559268129396685}",0.6234042553191489,470,-0.06325081440731395
volatility_of_volume,QQQ,20,-0.31792851819592316,-0.3625662943045468,-0.045510718586996984,"{1: 0.04045040040012829, 2: 0.03694112591885762, 3: 0.007476686876942204, 4: 0.004466759525106398, 5: -0.005060318186868692}",0.6826086956521739,460,-0.15466308287655506
