etf,event,n,mean,median,std,volatility_ann,p05,p25,p75,p95,skewness,kurtosis,left_tail_freq,prob_correction_gt_5pct,prob_continued_rally_gt_2pct,mean_max_drawdown,drawdown_prob_gt_3pct,horizon,event_count,comparison,mean_diff,left_tail_diff,correction_prob_diff
SPY,A_narrow_rally,68.0,0.0034470240244148945,0.003122504287934036,0.013538567854256865,0.04805714854481483,-0.0179963527206075,-0.002462554238935377,0.013144521474802162,0.021855191340407754,-0.7999350834309252,1.1873147784709976,0.10294117647058823,0.0,0.11764705882352941,-0.00813405083444605,0.04411764705882353,5,68.0,,,,
SPY,A_narrow_rally,68.0,0.005442547751389746,0.005790586457346758,0.018798386880446164,0.06672765394697557,-0.024956674301307814,-0.008172620160283445,0.017301374354176002,0.03699928096472864,0.11810441482072997,-0.5503968669561017,0.10294117647058823,0.0,0.19117647058823528,-0.016125511684138845,0.14705882352941177,10,68.0,,,,
SPY,A_narrow_rally,68.0,0.009958251026785212,0.016797752936582477,0.02863989713283693,0.10166154985057754,-0.04883207444362473,-0.002697266924830216,0.03148822592166728,0.04809683815244807,-0.7589392894535543,-0.1476385715169939,0.10294117647058823,0.058823529411764705,0.4411764705882353,-0.02655960311572387,0.3088235294117647,20,68.0,,,,
SPY,A_narrow_rally,,,,,,,,,,,,,,,,,20,,vs_unconditional,-0.002426764054518797,0.0026603902692244052,-0.016186498666855426
SPY,B_passive_dominance,28.0,0.008043405926437918,0.009219743230827304,0.011368119089570472,0.04035281971060601,-0.010853128941831235,0.004525057378650388,0.013715683700547487,0.020534317705132647,-1.9070985581552382,5.68112795378918,0.10714285714285714,0.0,0.07142857142857142,-0.006837275506641616,0.07142857142857142,5,28.0,,,,
SPY,B_passive_dominance,28.0,0.014681463234058436,0.015326430283334136,0.011561061977379841,0.04103769902132313,-0.004901207886400732,0.00824451375448415,0.021672060683790517,0.03176231438675783,-0.46678587979806724,0.858020317518104,0.10714285714285714,0.0,0.2857142857142857,-0.011277223901862988,0.10714285714285714,10,28.0,,,,
SPY,B_passive_dominance,28.0,0.02374538287694688,0.02767735323116105,0.02756208619290432,0.09783570054353419,-0.03294453734997221,0.017672603493494587,0.038183125260338235,0.05761710748029329,-1.0866489546120157,1.432821756011852,0.10714285714285714,0.0,0.6785714285714286,-0.01750038005408532,0.21428571428571427,20,28.0,,,,
SPY,B_passive_dominance,,,,,,,,,,,,,,,,,20,,vs_unconditional,0.011360367795642869,0.006862070941493312,-0.07501002807862013
SPY,C_participation_recovery,122.0,0.004964152989709433,0.005539837239610823,0.018884521145718886,0.06703340025822282,-0.023541741740905203,-0.004015382597311934,0.013319765211934842,0.0307850866970432,1.0460269787264367,9.589830434683563,0.10655737704918032,0.00819672131147541,0.09836065573770492,-0.009407829101873388,0.03278688524590164,5,122.0,,,,
SPY,C_participation_recovery,122.0,0.006509748189013723,0.00846897618438791,0.027093222748781887,0.09617140041784988,-0.05884651610315412,-0.0021862368396838305,0.019568379096223998,0.03570988129653601,-0.10141848095913358,4.751632997109752,0.10655737704918032,0.05737704918032787,0.2459016393442623,-0.018347094370402522,0.1557377049180328,10,122.0,,,,
SPY,C_participation_recovery,122.0,0.014424117372757766,0.018615956059795713,0.04182043060287202,0.148447802406103,-0.05768189856987325,0.0001820673715313137,0.03780950108102754,0.06991336121066791,-0.7375467535120143,5.369262509383449,0.10655737704918032,0.05737704918032787,0.47540983606557374,-0.03064718889675171,0.32786885245901637,20,122.0,,,,
SPY,C_participation_recovery,,,,,,,,,,,,,,,,,20,,vs_unconditional,0.002039102291453756,0.006276590847816496,-0.01763297889829226
