feature,hypothesis,neutralization,horizon,ic_spearman,quintile_spread,hit_ratio,n_stock_days,bootstrap_survival,bootstrap_ic_p05,bootstrap_ic_p95,residual_sharpe_proxy,rolling_ic_last,ic_regime_on,ic_regime_off,n_days_on,n_days_off
breadth_pct_above_ma20,B_sector_breadth_deterioration,sector_neutral,20,0.0025759425747640956,0.006451777626874709,0.20301444043321298,57018,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,beta_neutral,5,-0.013807810353266172,-0.005960252940670037,0.5265128111938943,55458,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,beta_neutral,20,0.01258595364652885,-0.011676923767025435,0.5468251021165986,55458,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,momentum_neutral,5,0.012020120571516095,-0.0016074322663262816,0.519139141443204,43835,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,momentum_neutral,20,0.044073634583039416,-0.0008462564754917589,0.5313069189828504,43835,,,,,,,,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,raw,5,0.0029486225289213756,-0.003928702346308274,0.514227792112053,54678,0.66,-0.01065726460905881,0.01688348260275994,0.8272064292708883,-0.022374257178286016,0.015465947819156577,-0.027450596033078395,493.0,203.0
breadth_pct_above_ma50,B_sector_breadth_deterioration,raw,20,-0.010868705407910493,-0.015529532940177396,0.5320399321906197,54678,0.92,-0.02306787554158129,0.00023249830277386222,-0.3981456872902621,-0.04311709171408086,0.006717037351764384,-0.05227749870409077,478.0,203.0
breadth_pct_above_ma50,B_sector_breadth_deterioration,sector_neutral,5,0.007346400378746638,0.004281008834813372,0.2171028381865094,54678,,,,,,,,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,sector_neutral,20,-0.00799668466442181,0.005426256030970935,0.21041627425127143,54678,,,,,,,,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,beta_neutral,5,0.002842396536468284,-0.003419368652592468,0.5303490136570561,53118,,,,,,,,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,beta_neutral,20,-0.01186910864073506,-0.01365794851289344,0.5489233753637245,53118,,,,,,,,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,momentum_neutral,5,0.02032618470959598,-0.0024620434792276082,0.5195304407872022,43835,,,,,,,,,
