signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
pct_above_sma20,QQQ,5,0.018955873605708853,0.024147547137709266,0.002559806024083171,"{1: 0.00287919479308118, 2: 0.0027569324934474592, 3: 0.00810342580848409, 4: 0.004018538688297359, 5: 0.005439000817164351}",0.5546218487394958,476,-0.011844844235291719
pct_above_sma20,QQQ,10,0.046020759890329034,0.0269908646726572,0.006309675236981551,"{1: 0.009481765223673307, 2: 0.004220493546686081, 3: 0.011914533148920605, 4: 0.004614381479769737, 5: 0.01579144046065486}",0.5859872611464968,471,0.021118458198147484
pct_above_sma20,QQQ,20,0.013199266864520061,-0.028340293047308462,-0.0071747641419038465,"{1: 0.024638508508376657, 2: 0.005924932997824094, 3: 0.022935550420765175, 4: 0.012933046551141992, 5: 0.01746374436647281}",0.6507592190889371,461,0.005440204659208889
pct_above_sma50,QQQ,1,-0.021417472965294403,0.02488697473132576,0.0010068960689283226,"{1: 0.0001972251590651397, 2: 0.0009132179254180639, 3: 0.0032075105921131014, 4: -0.0002606268704281526, 5: 0.0012041212279934623}",0.5377777777777778,450,0.003786177670600052
pct_above_sma50,QQQ,5,0.006677221336957197,0.016901480562849316,0.002037152729319221,"{1: 0.004720967705531987, 2: 0.0032723638691688523, 3: 0.008866931170317309, 4: 0.005329637572776118, 5: 0.006758120434851208}",0.5650224215246636,446,0.09332608961386447
pct_above_sma50,QQQ,10,0.05507794762163469,0.02240508407352154,0.005827204323562721,"{1: 0.012096651601195944, 2: 0.003919465724104676, 3: 0.010261204969705116, 4: 0.012237363917107134, 5: 0.017923855924758664}",0.5986394557823129,441,0.16100203114421124
pct_above_sma50,QQQ,20,0.06435319384837333,-0.05240834187302168,-0.010546615804708791,"{1: 0.03565044037904072, 2: -0.0017251552056146405, 3: 0.018664483516573113, 4: 0.02332676977125678, 5: 0.02510382457433193}",0.6566125290023201,431,0.2808253723526534
pct_new_20d_high,QQQ,1,0.04274583838275273,0.03822983816901184,0.0020870009709146506,"{1: -0.0005438307362175347, 2: 0.00035060737411034965, 3: 0.001150398650372764, 4: 0.0019152038952234389, 5: 0.0015431702346971159}",0.38333333333333336,480,0.0523297731218302
pct_new_20d_high,QQQ,5,0.07256806263918575,0.07328515673485433,0.00931323704025558,"{1: 0.0004712150324271795, 2: 0.006554446377259906, 3: 0.000591228095733224, 4: 0.005821098177746674, 5: 0.00978445207268276}",0.3949579831932773,476,0.028100962334674368
pct_new_20d_high,QQQ,10,0.0773244503055256,0.07215296093566244,0.01370084125164026,"{1: 0.002315936485553042, 2: 0.011781125947063185, 3: 0.0051121593731006006, 4: 0.010872846537412757, 5: 0.016016777737193302}",0.4118895966029724,471,0.04193831409867045
