ticker,idea,regime,ic_5d
MSFT,breakout,bear,0.08703786400192469
MSFT,breakout,high_vol,-0.11155786749885169
MSFT,breakout,low_vol,0.08269750550019275
MSFT,mean_reversion,bull,0.011655657787115465
MSFT,mean_reversion,bear,-0.11118734514960929
MSFT,mean_reversion,high_vol,0.0714432907981295
MSFT,mean_reversion,low_vol,-0.023218816497722894
MSFT,earnings_reaction,bull,-0.04737125595723705
MSFT,earnings_reaction,bear,0.057975986277873065
MSFT,earnings_reaction,high_vol,-0.027461548144660095
MSFT,earnings_reaction,low_vol,-0.01555729252710456
NVDA,momentum,bull,-0.1312729841534709
NVDA,momentum,bear,-0.3294453973699256
NVDA,momentum,high_vol,-0.2557635467980296
NVDA,momentum,low_vol,-0.09111926446236845
NVDA,breakout,bull,-0.025998241787276048
NVDA,breakout,bear,0.34670072147418945
NVDA,breakout,high_vol,-0.04191516539575918
NVDA,breakout,low_vol,0.027098765897301855
NVDA,mean_reversion,bull,0.060128926661617836
NVDA,mean_reversion,bear,-0.20205831903945107
NVDA,mean_reversion,high_vol,0.10774165574924587
NVDA,mean_reversion,low_vol,-0.043826422296139395
NVDA,earnings_reaction,bull,-0.10102055065847035
NVDA,earnings_reaction,bear,-0.039146178768820275
NVDA,earnings_reaction,high_vol,-0.08295157327415391
NVDA,earnings_reaction,low_vol,-0.08519845447887976
AMZN,momentum,bull,-0.18904648528384307
AMZN,momentum,bear,-0.3297503335239184
AMZN,momentum,high_vol,-0.08749664128974476
AMZN,momentum,low_vol,-0.361370586507131
AMZN,breakout,bull,0.01392593849647786
AMZN,breakout,bear,0.2170001905850962
AMZN,breakout,high_vol,0.012195777589917276
AMZN,breakout,low_vol,0.029403579278674315
AMZN,mean_reversion,bull,0.05666584319437651
AMZN,mean_reversion,bear,-0.12140270630836666
AMZN,mean_reversion,high_vol,0.048592701723631504
AMZN,mean_reversion,low_vol,0.09898683052280924
AMZN,earnings_reaction,bull,0.03913173321717724
AMZN,earnings_reaction,bear,0.048446731465599385
AMZN,earnings_reaction,high_vol,0.05060306122924718
AMZN,earnings_reaction,low_vol,0.020781686511703597
GOOGL,momentum,bull,-0.10812986149670382
GOOGL,momentum,bear,-0.009948542024013721
GOOGL,momentum,high_vol,0.01578369905956113
GOOGL,momentum,low_vol,-0.17644122910100954
GOOGL,breakout,bull,0.11905185706791094
GOOGL,breakout,bear,-0.1342964971691665
GOOGL,breakout,high_vol,0.0526330218953912
GOOGL,breakout,low_vol,0.03612582189256954
GOOGL,mean_reversion,bull,-0.06382510228530809
GOOGL,mean_reversion,bear,0.19672193634457782
GOOGL,mean_reversion,high_vol,-0.029876590407899705
GOOGL,mean_reversion,low_vol,0.0036675304949464805
GOOGL,earnings_reaction,bull,-0.04121996294824679
GOOGL,earnings_reaction,bear,-0.007661520869068038
GOOGL,earnings_reaction,high_vol,-0.033419895658984844
GOOGL,earnings_reaction,low_vol,-0.02927761435450822
META,momentum,bull,0.037976047544432394
META,momentum,bear,-0.36047265103868875
META,momentum,high_vol,-0.0608396775638155
META,momentum,low_vol,-0.06705871748304043
