momentum_window,top_k,rebalance_freq,cagr,sharpe,max_drawdown_pct,turnover_annual,excess_return_vs_spy,beta_vs_spy,alpha_annualized,return_pct,trades,fragility_score_global
40,1,5D,0.2797698716720831,1.4529183671792651,12.05243086638835,9.53784860557769,0.026698331128777397,0.45223682352379196,0.1585124003500885,27.851773072691,46,0.17785365397997108
40,1,10D,0.19287308065197117,1.0565659711821127,12.052430866388375,8.533864541832669,-0.0597808711769392,0.5045479359871222,0.07593121761081521,19.20385284211934,41,0.17785365397997108
40,2,1D,0.2845292290748156,1.7569680993606889,8.233765893536852,28.613545816733065,0.03143412916211541,0.7740997113496816,0.08161904125045583,28.3253528760248,474,0.17785365397997108
40,2,5D,0.2571461855646848,1.6399807500910173,9.08453020935996,12.047808764940239,0.004185674656321581,0.7343826487489316,0.06884335604394273,25.600507425445418,433,0.17785365397997108
40,2,10D,0.23137190765587246,1.5240179166901329,9.204023362010409,7.52988047808765,-0.021464072500446685,0.7366337832030563,0.0471073779941835,23.035532709768592,414,0.17785365397997108
40,3,1D,0.21810967434816364,1.554449492655069,7.845207667808453,20.91633466135458,-0.03466305555143201,0.8242747623210946,0.014250101717708142,21.71563440467006,688,0.17785365397997108
40,3,5D,0.18993312416525776,1.362609146443715,7.932697713020488,9.53784860557769,-0.06270712681461976,0.8407736975863024,-0.012905117404808979,18.911227278351284,642,0.17785365397997108
40,3,10D,0.20356045742930484,1.4583839152700997,7.9634658694231035,6.52589641434263,-0.049143540539592134,0.8528681936997763,-0.004434018328230726,20.267585905854048,618,0.17785365397997108
40,4,1D,0.22266413152253506,1.6490437949894088,6.765735873443149,15.310756972111554,-0.030130255519276172,0.8529757059253146,0.010538800994901442,22.168914407885644,895,0.17785365397997108
40,4,5D,0.21622591294574267,1.5950440014842873,6.795591810592495,6.0239043824701195,-0.0365378790262505,0.8641742889544943,0.0027476073766072415,21.52815205718821,842,0.17785365397997108
40,4,10D,0.2387862410085868,1.7257824999300424,6.795591810592515,4.51792828685259,-0.014085345824178974,0.8793581941205064,0.017800784588035416,23.773405377395363,816,0.17785365397997108
60,1,1D,0.264447576884995,1.3797015390769625,13.27377188918891,17.569721115537845,0.011451407463466623,0.34513022027110757,0.17166399946684557,26.327080706159922,63,0.17785365397997108
60,1,5D,0.27237779087049296,1.455815095762636,12.052430866388333,9.53784860557769,0.01934270331233945,0.31236693529196013,0.18454870238399873,27.116210291047203,46,0.17785365397997108
