Date,SPY,QQQ,IWM,XLK,XLF,XLE,portfolio
2025-05-20 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-21 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-22 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-23 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-27 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-28 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-29 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-05-30 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-02 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-03 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-04 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-05 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-06 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-09 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-10 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-11 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-12 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-13 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-16 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-17 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-18 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-20 00:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
2025-06-23 00:00:00-04:00,0.0,0.0,0.0,50499.65546508116,0.0,48111.948982815535,98611.6044478967
2025-06-24 00:00:00-04:00,0.0,0.0,0.0,49592.15795171809,0.0,49287.79307890144,98879.22556154826
2025-06-25 00:00:00-04:00,0.0,0.0,0.0,49704.4065265103,0.0,49381.12320986227,99085.4048314828
2025-06-26 00:00:00-04:00,0.0,0.0,50292.144708851614,49828.90291210633,0.0,0.0,100100.96080035254
2025-06-27 00:00:00-04:00,0.0,50248.56790968909,0.0,49997.18869070177,0.0,0.0,100225.4226255973
2025-06-30 00:00:00-04:00,0.0,0.0,0.0,50529.196084554926,0.0,50361.92653073283,100870.78643009617
2025-07-01 00:00:00-04:00,0.0,50121.83239532044,0.0,50103.690426220484,0.0,0.0,100205.14433050557
2025-07-02 00:00:00-04:00,0.0,50426.45713135052,0.0,50656.77859203437,0.0,0.0,101083.21796670904
2025-07-03 00:00:00-04:00,0.0,0.0,51012.586590233266,51178.74485004305,0.0,0.0,102170.890528044
2025-07-07 00:00:00-04:00,0.0,0.0,50392.168304769104,50605.767150783424,0.0,0.0,100997.868054727
2025-07-08 00:00:00-04:00,0.0,0.0,50883.436045679075,50735.3447435007,0.0,0.0,101618.72343764179
