Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-21,62.61307131217087,63.74786616469228,62.19727154424739,63.17613983154297,2527433,0.0,0.0
2024-05-22,63.15014908814931,63.609264331339716,62.76899381802095,62.916255950927734,1443002,0.0,0.0
2024-05-23,61.85076654676588,61.85076654676588,57.606104866386424,57.97859573364258,6630964,0.0,0.0
2024-05-24,57.7793532910995,58.03923309783133,56.23741651400299,56.471309661865234,4224604,0.0,0.0
2024-05-27,56.71385850194495,58.10853308726708,56.696529657334736,56.9564094543457,1745837,0.0,0.0
2024-05-28,57.1729734016959,57.47616209035589,56.00352754028294,56.24607849121094,2314114,0.0,0.0
2024-05-29,56.254744446409404,56.5925842242678,54.4096156929032,54.790767669677734,3183753,0.0,0.0
2024-05-31,55.007332535869374,56.01219406633358,54.84274485648765,55.067970275878906,4730200,0.0,0.0
2024-06-03,55.66568823288522,56.15079013876084,55.21523410278008,55.37982177734375,1356315,0.0,0.0
2024-06-04,55.3798255632914,55.38848668169889,54.236366271972656,54.236366271972656,2486736,0.0,0.0
2024-06-05,54.40095301342389,54.75611834313004,54.08043876576444,54.262351989746094,2214370,0.0,0.0
2024-06-06,54.894716682907955,55.16325759887695,54.37496369565515,55.16325759887695,1009009,0.0,0.0
2024-06-07,55.22389405372199,55.483773845817154,54.548214525095744,54.652164459228516,1191954,0.0,0.0
2024-06-10,54.660827642656756,54.93802968049299,54.06311136816782,54.83407974243164,1230995,0.0,0.0
2024-06-11,54.842747703107534,55.16326196043838,53.95050048828125,53.95050048828125,1793268,0.0,0.0
2024-06-12,54.0977613065396,54.61751429037869,53.44806842448631,54.106422424316406,2080724,0.0,0.0
2024-06-13,54.106424175591364,54.487579460285254,53.68195999610278,53.92451095581055,1515930,0.0,0.0
2024-06-14,53.924510478753824,55.00733197431113,53.924510478753824,54.964019775390625,1829707,0.0,0.0
2024-06-17,54.97268374910033,56.04684087796863,54.764783861678325,55.85626983642578,1399410,0.0,0.0
2024-06-18,55.98620081367337,56.376020521569295,55.631038796098494,55.76097869873047,1991768,0.0,0.0
2024-06-19,55.87358822793168,56.999725207915716,55.87358822793168,56.86978530883789,1340142,0.0,0.0
2024-06-20,56.86978505834797,57.32023588294684,56.410669811444,56.9564094543457,1614759,0.0,0.0
2024-06-21,57.086349162986785,57.34622235011566,56.479965174983896,56.7225227355957,5650807,0.0,0.0
2024-06-24,56.72252529163245,58.429046451966556,56.705196446299,58.195159912109375,2685622,0.0,0.0
2024-06-25,58.19515966380743,58.99211471127649,57.9352798570589,58.62828826904297,2476599,0.0,0.0
2024-06-26,58.645611752914625,59.165371377469086,58.16050981961651,58.27312088012695,3283077,0.0,0.0
2024-06-27,58.27311925914122,58.71491228411587,58.15184377919021,58.5849723815918,1453314,0.0,0.0
2024-06-28,58.645609259961084,58.97479122272154,58.41172272606834,58.6369514465332,2330347,0.0,0.0
2024-07-01,58.472359964254565,59.451228203669004,58.403057803317836,58.81019973754883,1990639,0.0,0.0
2024-07-02,58.81020030633991,59.15670450535699,58.09986967241295,59.08740234375,1112712,0.0,0.0
2024-07-03,59.338617233451274,59.8150613292978,59.11338851459493,59.607154846191406,1457879,0.0,0.0
2024-07-04,59.685124178362166,59.919010721356024,59.364606625575334,59.849708557128906,1060608,0.0,0.0
2024-07-05,59.55518130962717,59.77174560529854,58.14318448109624,58.680259704589844,1031159,0.0,0.0
2024-07-08,58.84484985612819,58.905487593702176,58.039230423206554,58.489681243896484,1145381,0.0,0.0
2024-07-09,58.38573729660196,58.38573729660196,57.51081566366525,57.935279846191406,2053681,0.0,0.0
2024-07-10,57.93527807751544,58.030566896461806,56.999725341796875,56.999725341796875,1713649,0.0,0.0
2024-07-11,57.17297372419122,58.030566479529114,56.94774500748004,57.96992874145508,1636450,0.0,0.0
2024-07-12,57.96992875991128,58.64560830124218,57.5281423576674,58.31643295288086,975202,0.0,0.0
2024-07-15,58.212479962690246,58.299110968068625,57.62342481481343,58.22980880737305,990387,0.0,0.0
2024-07-16,58.22980892346599,58.22980892346599,55.98619938185259,56.30671691894531,2425555,0.0,0.0
2024-07-17,56.39334294022834,56.65322274633338,55.12860820915432,55.99486541748047,2447891,0.0,0.0
2024-07-18,56.306717356036,56.87845027382587,55.70899777998621,56.4539794921875,1705800,0.0,0.0
2024-07-19,56.30671991870095,56.71386187401754,55.847604644499064,56.462646484375,803435,0.0,0.0
2024-07-22,56.49729353549398,56.731180062807915,55.73498299813779,55.88225173950195,997862,0.0,0.0
2024-07-23,55.88225240148878,56.020850113275024,54.79942762451508,55.423133850097656,2082024,0.0,0.0
2024-07-24,55.00733183623087,55.388483812087046,54.66082763671875,54.66082763671875,1695914,0.0,0.0
2024-07-25,54.574204615604415,55.30186080932617,54.40095251147847,55.30186080932617,1975514,0.0,0.0
2024-07-26,55.4404603247549,55.71766236201796,55.07663389003799,55.22389602661133,831520,0.0,0.0
2024-07-29,55.87359031540408,56.12480570060201,55.3538373086923,55.69167709350586,748396,0.0,0.0
2024-07-30,55.70034132620558,55.95155010152871,54.7647819519043,54.7647819519043,937584,0.0,0.0
2024-07-31,55.24122164356193,56.08148887445743,55.02465734511822,56.020851135253906,2016737,0.0,0.0
2024-08-01,56.08148834426471,56.08148834426471,54.88605580740347,54.90338134765625,958144,0.0,0.0
2024-08-02,54.74745560204775,55.1026209212261,54.470253562909,54.92070770263672,1146391,0.0,0.0
2024-08-05,53.707947019784854,53.75125921938288,51.88880820059575,52.928314208984375,3116018,0.0,0.0
2024-08-06,53.448072029731286,54.037127213553994,52.7290769389295,53.17953109741211,1868083,0.0,0.0
2024-08-07,53.707943976126685,53.707943976126685,52.75506242093442,52.94563674926758,1367599,0.0,0.0
2024-08-08,52.99761398741504,53.96782109369589,52.34792110914942,53.91584777832031,1381467,0.0,0.0
2024-08-09,54.29700079572895,54.64350499265293,52.980289473730316,53.3267936706543,1155110,0.0,0.0
2024-08-12,54.92070887726799,55.942892657645245,54.43560364614537,55.92556381225586,1943458,0.0,0.0
2024-08-13,56.23741369564136,56.29805143297082,54.89471574768917,55.18924331665039,1352764,0.0,0.0
2024-08-14,55.26720776384931,55.579064183802394,54.34897726227364,54.55687713623047,1306664,0.0,0.0
2024-08-16,55.43179814723768,55.70033906142579,55.10261949508917,55.46644592285156,1503191,0.0,0.0
2024-08-19,55.5270875999803,56.471311425511345,55.189247806088716,55.942893981933594,1215849,0.0,0.0
2024-08-20,55.942889928332775,56.116138719665805,54.782105182053535,54.842742919921875,1034589,0.0,0.0
2024-08-21,54.842743375271525,55.397147442961646,54.59152799944041,55.336509704589844,934802,0.0,0.0
2024-08-22,54.40095092866408,54.920707225919436,53.47405599874398,53.73393249511719,2566113,0.0,0.0
2024-08-23,54.167060190829396,54.990005169432415,53.97648585905936,54.62617874145508,1026420,0.0,0.0
2024-08-26,54.66082832821282,55.19791017470193,54.24502526624348,54.894718170166016,971516,0.0,0.0
2024-08-27,54.89471967009953,55.1199484001385,54.51356767900702,54.97268295288086,1217442,0.0,0.0
2024-08-28,54.97268114139397,55.16325878291477,54.435602602436894,54.70414352416992,1290985,0.0,0.0
2024-08-29,54.70414223444049,55.63103715260585,54.70414223444049,55.37982177734375,1586809,0.0,0.0
2024-08-30,55.3971488751206,56.133469481470804,55.2672089726738,55.7349853515625,2811709,0.0,0.0
2024-09-02,55.56173658507664,57.31157983975739,55.42313556449417,57.121002197265625,1818842,0.0,0.0
2024-09-03,57.12100172981222,57.1643106242854,55.587722788871076,55.934226989746094,1827145,0.0,0.0
2024-09-04,55.00733036419448,55.7349832155813,54.842742691310626,55.27587127685547,1399287,0.0,0.0
2024-09-05,55.27587351366987,55.32784683115275,53.846547801728725,53.88119888305664,1780800,0.0,0.0
2024-09-06,54.227700286346824,54.314327990471014,52.98895220569768,53.01494216918945,1588829,0.0,0.0
2024-09-09,53.42207905197662,53.69928439152818,53.10156481855398,53.19685363769531,1547098,0.0,0.0
2024-09-10,53.44806772832281,53.52603100533408,52.57314614136196,52.685760498046875,1226297,0.0,0.0
2024-09-11,52.93697622384033,53.15354051648932,52.09670571091942,52.209320068359375,2787300,0.0,0.0
2024-09-12,52.460539407571694,53.27482001987826,51.81950759887695,51.81950759887695,2506053,0.0,0.0
2024-09-13,51.96677265833671,52.74640218228099,51.88880937549137,52.642452239990234,1893174,0.0,0.0
2024-09-16,52.841686483295994,53.179526245205494,52.33925574696272,52.581809997558594,1984128,0.0,0.0
2024-09-17,52.841687762956745,53.48271952750767,52.54716019078614,53.09290313720703,1833245,0.0,0.0
