Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-21,189.44890089382775,191.07481584379752,189.28036268210627,190.69808959960938,42309400,0.0,0.0
2024-05-22,190.61877317517173,191.16405275409193,188.63594934473116,189.26052856445312,34648500,0.0,0.0
2024-05-23,189.3398657052663,189.35969818168277,185.02723244112752,185.27508544921875,51005900,0.0,0.0
2024-05-24,187.1984232707908,188.94330296502375,186.4251079843019,188.34844970703125,36327000,0.0,0.0
2024-05-28,189.86530324069457,191.3425125399711,187.4760118609873,188.35836791992188,52280100,0.0,0.0
2024-05-29,187.98160889548626,190.5989356775744,187.88246165547932,188.65576171875,53068000,0.0,0.0
2024-05-30,189.12173915319045,190.52954231443272,188.99286588586446,189.64718627929688,49889100,0.0,0.0
2024-05-31,189.7959119633218,190.9162123421418,188.27905284340878,190.5989532470703,75158300,0.0,0.0
2024-06-03,191.24334718637152,193.31540952983562,190.86662095571478,192.3636474609375,50080500,0.0,0.0
2024-06-04,192.96842627855952,193.64259428823095,191.3722523931234,192.68092346191406,47471400,0.0,0.0
2024-06-05,193.72188613227584,195.20900403542353,193.19643901671662,194.18785095214844,54156800,0.0,0.0
2024-06-06,194.0094297097739,194.81247106318253,192.50247913295604,192.809814453125,41181800,0.0,0.0
2024-06-07,192.978343568532,195.2486855650071,192.47272888451312,195.19911193847656,53103900,0.0,0.0
2024-06-10,195.20902308787942,195.6055969774052,190.4998159349584,191.46148681640625,97010200,0.0,0.0
2024-06-11,191.98692512163242,205.38091074009856,191.96710777388114,205.37098693847656,172373300,0.0,0.0
2024-06-12,205.58908283581826,218.30889945026047,205.1231180281253,211.24014282226562,198134300,0.0,0.0
2024-06-13,212.8958219752939,214.8885546834631,209.7827888470424,212.40011596679688,97862700,0.0,0.0
2024-06-14,212.01346682824212,213.32212283006638,209.48536314811375,210.66514587402344,70122700,0.0,0.0
2024-06-17,211.5375569916551,217.06963733267014,210.8931452933454,214.80921936035156,93728300,0.0,0.0
2024-06-18,215.72132373307375,216.75240063817128,211.1707464886947,212.4496612548828,79943300,0.0,0.0
2024-06-20,212.0927425591543,212.4000929584359,207.05638337080816,207.87924194335938,86172500,0.0,0.0
2024-06-21,208.58317289420788,210.07029091430852,205.33134270047418,205.7080841064453,241805100,0.0,0.0
2024-06-24,205.93608683303725,210.87331399723786,204.8157865138524,206.35247802734375,80727000,0.0,0.0
2024-06-25,207.35380525957078,209.5646648210329,206.81844945769743,207.27450561523438,55549700,0.0,0.0
2024-06-26,209.68362348048936,213.01476817493463,208.8310086144187,211.41859436035156,66213200,0.0,0.0
2024-06-27,212.8462361886446,213.88722177256454,210.5263358320774,212.2613067626953,49772700,0.0,0.0
2024-06-28,213.91696855097956,214.2143951724623,208.49394377490637,208.81118774414062,82542700,0.0,0.0
