Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-21,141.1534110416756,142.4393246299342,140.21371018259148,140.95558166503906,378599,0.0,0.0
2024-05-22,141.1039454470517,147.3356687205667,139.9664152474239,143.42848205566406,620697,0.0,0.0
2024-05-23,143.42847722753103,143.42847722753103,139.1750779876182,140.60935974121094,444037,0.0,0.0
2024-05-24,139.5707628733363,140.36208039087128,135.76248317318903,137.88917541503906,375094,0.0,0.0
2024-05-27,137.88916936129573,139.8674932551072,136.99892964644593,138.23538208007812,202270,0.0,0.0
2024-05-28,138.28484844287112,139.96642079772994,137.2956864584349,137.69134521484375,431776,0.0,0.0
2024-05-29,140.46099365278891,141.45015557992122,128.09646956363494,128.88780212402344,1269988,0.0,0.0
2024-05-31,128.98670926068877,130.81666486324883,125.128983782238,128.88780212402344,926449,0.0,0.0
2024-06-03,130.07478772950128,134.2292646230918,129.580206787564,132.79498291015625,523314,0.0,0.0
2024-06-04,132.0531109606745,133.73468313774592,130.6188292535669,130.96502685546875,458703,0.0,0.0
2024-06-05,131.0639525992351,132.10257561964747,130.12425180682882,131.75636291503906,321197,0.0,0.0
2024-06-06,133.0422733522811,133.53685429411115,131.06394958496094,131.06394958496094,225198,0.0,0.0
2024-06-07,131.06396725103056,136.20760672068997,130.51992512300373,133.3885040283203,374299,0.0,0.0
2024-06-10,133.48739979194076,133.7841513904173,130.96503384500994,132.54769897460938,231884,0.0,0.0
2024-06-11,133.53685516860992,136.05922100714395,131.80582186086866,132.99281311035156,386672,0.0,0.0
2024-06-12,133.04228425202547,134.67439545641344,129.6296784924964,133.536865234375,378973,0.0,0.0
2024-06-13,132.59716316802718,134.3281965903424,130.56937814034666,131.5090789794922,243228,0.0,0.0
2024-06-14,130.07480832144543,133.14121668425992,129.38239791180132,132.34988403320312,326457,0.0,0.0
2024-06-17,132.34987085996391,135.9603059109444,132.34987085996391,134.5754852294922,313802,0.0,0.0
2024-06-18,134.7733075487427,136.45487974351238,134.0314361310432,134.72384643554688,430326,0.0,0.0
2024-06-19,134.52602567605987,137.0483916761687,134.3281963040425,136.70217895507812,274191,0.0,0.0
2024-06-20,137.10073671268864,137.89782182106183,134.90870705439062,136.70217895507812,292176,1.0,0.0
2024-06-21,136.25381110572744,138.14691099218896,135.20761792492561,135.4567108154297,646749,0.0,0.0
2024-06-24,135.50653404506198,142.97932084901763,135.50653404506198,142.63058471679688,535196,0.0,0.0
2024-06-25,142.48112849672174,144.8724140824304,140.38874220665943,143.27822875976562,370858,0.0,0.0
2024-06-26,143.32805485554036,144.42405444847822,140.68766110191484,140.88693237304688,288938,0.0,0.0
2024-06-27,140.88693860888023,141.18585313052034,136.10436707633525,137.99746704101562,438876,0.0,0.0
2024-06-28,137.99746711783047,139.0436603424411,136.75200261315692,138.44583129882812,284590,0.0,0.0
