Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-05-21,516.7050565718225,518.8918276886369,516.5000244352296,518.735595703125,33437000,0.0,0.0,0.0
2024-05-22,518.0424683735625,518.7551054535538,515.0648847480338,517.241943359375,48390000,0.0,0.0,0.0
2024-05-23,520.2974940619036,520.4048662857896,512.2532170997966,513.4638061523438,57211200,0.0,0.0,0.0
2024-05-24,515.3089561408403,517.6715030328614,514.3620306627067,516.8612060546875,41291100,0.0,0.0,0.0
2024-05-28,517.6715045678355,517.9057929513657,514.5865486245773,517.222412109375,36269600,0.0,0.0,0.0
2024-05-29,513.1905202395113,514.7817983278129,512.8878878194378,513.6005249023438,45190300,0.0,0.0,0.0
2024-05-30,512.0581664345199,512.7220034469959,508.94395393500866,510.1935119628906,46377600,0.0,0.0,0.0
2024-05-31,511.15011057316815,514.967187107586,506.04432903435765,514.8402709960938,90785800,0.0,0.0,0.0
2024-06-03,516.4511771729021,516.7342656913833,510.18366530067414,515.2601318359375,46835700,0.0,0.0,0.0
2024-06-04,513.9519821715993,516.5780734778808,512.4876203186922,515.8361206054688,34632700,0.0,0.0,0.0
2024-06-05,518.1595530381444,521.9864018010747,516.1679828855217,521.9668579101562,47610400,0.0,0.0,0.0
2024-06-06,522.2695576901561,522.6991062505612,520.0242145910106,521.9571533203125,30808500,0.0,0.0,0.0
2024-06-07,520.9808506310355,524.1341502130953,519.8874652579173,521.3225708007812,43224500,0.0,0.0,0.0
2024-06-10,520.5122296802525,523.2554648254413,519.9167369014993,522.9332885742188,35686100,0.0,0.0,0.0
2024-06-11,521.3811087600108,524.2512600728273,519.4090826052437,524.1926879882812,36383400,0.0,0.0,0.0
2024-06-12,528.7615289974312,531.1923600659605,527.4631115100716,528.4979248046875,63251300,0.0,0.0,0.0
2024-06-13,530.2454535391702,530.4211698122318,526.7700371068663,529.5620727539062,44760900,0.0,0.0,0.0
2024-06-14,528.0293342324846,529.9134725597781,527.0237772162169,529.8842163085938,40089900,0.0,0.0,0.0
2024-06-17,529.2008719569648,535.4976399183048,528.7420075865693,534.1015625,55839500,0.0,0.0,0.0
2024-06-18,534.16013957423,535.585473259027,533.7403629842298,535.4585571289062,41376400,0.0,0.0,0.0
2024-06-20,536.3861209491585,537.049958005098,532.2273227123432,534.0040893554688,70328200,0.0,0.0,0.0
2024-06-21,533.1802452520325,534.404483453128,531.8286814958426,533.2879638671875,64338600,1.759,0.0,0.0
2024-06-24,533.1117619254674,535.6777608035513,531.4369822915095,531.5545043945312,45528700,0.0,0.0,0.0
2024-06-25,532.7787259572508,533.9638101987721,531.260682360104,533.6014404296875,37936200,0.0,0.0,0.0
2024-06-26,532.4848968900385,534.9823310545671,531.8385253727439,534.2673950195312,38550600,0.0,0.0,0.0
2024-06-27,534.1303504208262,535.6876080791019,533.3860038559784,535.1097412109375,35041500,0.0,0.0,0.0
2024-06-28,535.8833169111514,538.9390704785369,531.7601208771133,533.00390625,76144500,0.0,0.0,0.0
2024-07-01,534.3848928648134,534.6297405125247,531.339002473828,534.1008911132812,40297800,0.0,0.0,0.0
2024-07-02,532.4947501316359,537.6953125,532.4457925507478,537.6953125,40434800,0.0,0.0,0.0
2024-07-03,537.381917105902,540.457218430894,537.3427629954197,540.0948486328125,32789900,0.0,0.0,0.0
2024-07-05,540.3984429341523,543.6108134486142,539.7618150479054,543.2092895507812,41488400,0.0,0.0,0.0
2024-07-08,543.9926747169111,544.7859786497875,542.7684365626419,543.8359985351562,36110500,0.0,0.0,0.0
2024-07-09,544.7959245684453,545.6969473479489,544.0711849559792,544.364990234375,27289700,0.0,0.0,0.0
2024-07-10,545.5891159264746,550.0942886699685,545.2953107088132,549.7515258789062,38701200,0.0,0.0,0.0
2024-07-11,549.869152242232,550.7408243676441,544.3747844096212,545.0113525390625,53054200,0.0,0.0,0.0
2024-07-12,546.1376877405125,552.0531865568831,545.667599292853,548.4490356445312,53084400,0.0,0.0,0.0
2024-07-15,550.4469707289841,553.1990561394715,548.0964091939553,549.957275390625,40584300,0.0,0.0,0.0
2024-07-16,551.2696499606263,553.5124331903285,550.51549997726,553.2186279296875,36475300,0.0,0.0,0.0
2024-07-17,547.2835053633577,548.9582849622979,545.1386373621594,545.4618530273438,57119000,0.0,0.0,0.0
2024-07-18,546.9995524787638,547.988746727991,539.0860582622142,541.2700805664062,56270400,0.0,0.0,0.0
2024-07-19,541.0350233261719,542.6608454522978,536.6179614633988,537.6757202148438,65509100,0.0,0.0,0.0
2024-07-22,541.6031583779978,543.8263948114603,539.6639835581032,543.2191772460938,43346700,0.0,0.0,0.0
2024-07-23,543.111291105197,545.2659625762393,541.8773090500791,542.3670043945312,34439600,0.0,0.0,0.0
2024-07-24,537.5482547756214,537.8518634391315,529.1548710284035,530.0755004882812,74515300,0.0,0.0,0.0
2024-07-25,530.1931317534066,536.177254363603,526.3735438881854,527.313720703125,61158300,0.0,0.0,0.0
2024-07-26,531.1040247828195,535.9128068838628,530.3302678617441,533.219482421875,53763800,0.0,0.0,0.0
2024-07-29,534.7669398202207,535.7756811771844,531.5349026238763,533.5328979492188,39515800,0.0,0.0,0.0
2024-07-30,535.001925487195,536.0596840862061,527.4214517116767,530.8297119140625,46853600,0.0,0.0,0.0
2024-07-31,537.6658283608423,542.0926929678205,536.2947173976487,539.4581298828125,65663400,0.0,0.0,0.0
2024-08-01,541.1819427118934,543.4345294348678,528.3127341764186,531.8189697265625,76428700,0.0,0.0,0.0
2024-08-02,524.7085981454201,525.9230331199286,517.7059303208597,521.9173583984375,82789100,0.0,0.0,0.0
